City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
226,Yushala,57.0761,64.2601,14.0,57,0,15.66,RU,clear sky
227,Nishihara,26.1842,127.7558,82.4,30,40,10.36,JP,scattered clouds
228,Mackay,-21.15,149.2,86.0,66,31,12.66,AU,scattered clouds
229,Chicama,-7.8447,-79.1469,73.65,76,96,4.12,PE,overcast clouds
230,Tiksi,71.6872,128.8694,3.07,89,100,3.2,RU,overcast clouds
231,Pisco,-13.7,-76.2167,77.0,65,0,3.44,PE,clear sky
232,Port Elizabeth,-33.918,25.5701,68.0,100,20,3.44,ZA,moderate rain
233,Aleksandrov Gay,50.147,48.5704,15.44,78,22,9.51,RU,few clouds
234,Lagoa,39.05,-27.9833,59.31,91,36,10.49,PT,scattered clouds
235,Natal,-5.795,-35.2094,78.8,83,20,3.44,BR,few clouds
236,Puerto Carreno,6.189,-67.4859,80.01,70,55,8.3,CO,broken clouds
237,Sao Joao Da Barra,-21.6403,-41.0511,75.74,90,46,11.1,BR,scattered clouds
238,Khetia,21.6667,74.5833,90.75,13,0,4.32,IN,clear sky
239,Margate,51.3813,1.3862,46.99,75,95,5.99,GB,overcast clouds
240,Lexington,37.9887,-84.4777,48.99,57,90,10.36,US,overcast clouds
241,Havelock,34.8791,-76.9013,61.0,38,100,1.01,US,overcast clouds
242,Belmonte,-15.8631,-38.8828,73.4,88,0,2.3,BR,clear sky
243,Nemuro,43.3236,145.575,42.8,65,20,13.8,JP,few clouds
244,Vila,42.0304,-8.1588,41.0,90,5,1.99,PT,clear sky
245,Umm Lajj,25.0213,37.2685,73.85,61,100,1.5,SA,overcast clouds
246,Buncrana,55.1333,-7.45,42.98,94,94,9.35,IE,overcast clouds
247,Tefe,-3.3542,-64.7114,73.26,94,70,1.77,BR,broken clouds
248,Sakaraha,-22.9,44.5333,69.35,74,2,3.15,MG,clear sky
249,Pierre,44.3683,-100.351,37.99,86,90,25.32,US,light snow
250,Boende,-0.2167,20.8667,70.72,99,100,3.15,CD,light rain
251,Port Augusta,-32.5,137.7667,75.0,49,0,12.66,AU,clear sky
252,Camacha,33.0833,-16.3333,60.8,72,20,6.91,PT,few clouds
253,Norman Wells,65.282,-126.8329,-5.8,77,75,6.91,CA,light snow
254,Mombetsu,44.3525,143.3525,37.4,60,75,9.22,JP,broken clouds
255,Santiago Del Estero,-27.7951,-64.2615,74.62,73,100,6.51,AR,overcast clouds
256,Narsaq,60.9167,-46.05,37.4,48,75,49.48,GL,snow
257,Morgan Hill,37.1305,-121.6544,51.01,100,90,5.75,US,moderate rain
258,Touros,-5.1989,-35.4608,75.2,88,20,3.44,BR,few clouds
259,Codrington,-38.2667,141.9667,64.9,72,97,10.09,AU,overcast clouds
260,Marsa Matruh,31.3525,27.2453,53.6,94,40,5.75,EG,scattered clouds
261,Arlit,18.7369,7.3853,71.22,16,0,6.93,NE,clear sky
262,Vestmannaeyjar,63.4427,-20.2734,40.66,87,100,21.09,IS,overcast clouds
263,Katsuura,35.1333,140.3,63.0,36,20,12.66,JP,few clouds
264,Hay River,60.8156,-115.7999,3.2,78,100,12.66,CA,light snow
265,Brae,60.3964,-1.353,41.0,81,40,11.5,GB,scattered clouds
266,Khash,28.2211,61.2158,59.4,41,0,3.15,IR,clear sky
267,Rocha,-34.4833,-54.3333,58.6,90,0,2.42,UY,clear sky
268,Babayurt,43.6002,46.7789,38.14,84,15,18.48,RU,few clouds
269,Dudinka,69.4058,86.1778,-26.09,94,3,3.36,RU,clear sky
270,Port Shepstone,-30.7414,30.455,72.61,86,65,7.49,ZA,broken clouds
271,Vestmanna,62.1564,-7.1664,35.6,87,40,6.91,FO,scattered clouds
272,Mahanoro,-19.9,48.8,73.51,90,1,9.62,MG,clear sky
273,Kargopol,61.5071,38.9456,32.65,98,99,6.02,RU,light snow
