City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,San Patricio,US,2021-03-14 21:27:09,28.017,-97.5169,64.0,88,90,17.27
155,Vardo,NO,2021-03-14 21:27:09,70.3705,31.1107,28.4,93,75,8.05
156,Atlantic City,US,2021-03-14 21:24:17,39.3643,-74.4229,57.2,19,20,23.02
157,Vanavara,RU,2021-03-14 21:27:10,60.34,102.2797,8.1,92,100,11.1
158,Farmington,US,2021-03-14 21:26:54,36.7281,-108.2187,37.4,87,75,24.16
159,Kununurra,AU,2021-03-14 21:23:07,-15.7667,128.7333,75.2,100,75,12.66
160,Mugumu,TZ,2021-03-14 21:27:11,-1.85,34.7,62.35,73,57,4.65
161,Adigeni,GE,2021-03-14 21:27:12,41.6819,42.6987,50.0,43,0,21.85
162,Khatanga,RU,2021-03-14 21:27:12,71.9667,102.5,-19.62,96,100,8.9
163,Arona,ES,2021-03-14 21:27:13,28.0996,-16.681,66.99,68,75,11.5
164,Mecca,SA,2021-03-14 21:27:13,21.4267,39.8261,78.71,51,0,1.39
165,Itaituba,BR,2021-03-14 21:27:14,-4.2761,-55.9836,82.4,83,75,1.14
166,Amberley,US,2021-03-14 21:27:14,39.2048,-84.428,57.0,38,1,6.49
167,Dingle,PH,2021-03-14 21:27:15,10.9995,122.6711,74.88,91,82,2.24
168,Arsikere,IN,2021-03-14 21:27:16,13.3139,76.2561,69.84,50,2,7.07
169,Ponta Do Sol,PT,2021-03-14 21:27:16,32.6667,-17.1,57.0,67,100,3.0
170,Fortuna,US,2021-03-14 21:27:17,40.5982,-124.1573,46.0,92,100,5.01
171,Dunedin,NZ,2021-03-14 21:27:17,-45.8742,170.5036,63.0,64,100,5.66
172,Fayaoue,NC,2021-03-14 21:27:18,-20.65,166.5333,78.73,81,100,17.52
173,Port Augusta,AU,2021-03-14 21:27:18,-32.5,137.7667,51.8,87,2,3.44
174,Camacha,PT,2021-03-14 21:27:19,33.0833,-16.3333,60.8,72,40,8.05
175,Mahuta,TZ,2021-03-14 21:27:19,-10.8667,39.45,68.65,97,100,1.19
176,Burns Lake,CA,2021-03-14 21:27:20,54.2331,-125.7533,30.2,40,100,11.5
177,Touros,BR,2021-03-14 21:27:21,-5.1989,-35.4608,82.4,65,20,12.66
178,Tecoanapa,MX,2021-03-14 21:27:21,16.5167,-98.75,83.82,62,0,12.57
179,Moa,CU,2021-03-14 21:27:21,20.6569,-74.9403,78.4,67,0,11.88
180,Klaksvik,FO,2021-03-14 21:27:22,62.2266,-6.589,39.2,87,75,3.44
181,Kenora,CA,2021-03-14 21:27:22,49.8167,-94.4337,33.8,32,40,9.22
182,Arenillas,ES,2021-03-14 21:27:23,41.3471,-2.8462,37.0,100,0,6.31
183,Portland,US,2021-03-14 21:23:00,45.5234,-122.6762,50.0,71,90,6.91
184,Darhan,MN,2021-03-14 21:27:24,49.4867,105.9228,7.48,66,0,3.56
185,Kodiak,US,2021-03-14 21:22:43,57.79,-152.4072,35.6,69,90,24.16
186,Longyearbyen,SJ,2021-03-14 21:27:24,78.2186,15.6401,-2.2,65,20,13.8
187,Kavieng,PG,2021-03-14 21:27:25,-2.5744,150.7967,81.7,70,89,3.27
188,Dovbysh,UA,2021-03-14 21:27:25,50.3733,27.9874,34.14,93,62,5.17
189,Alice Springs,AU,2021-03-14 21:27:26,-23.7,133.8833,59.0,94,90,6.91
190,Sorong,ID,2021-03-14 21:27:26,-0.8833,131.25,78.91,84,100,6.67
191,Maneadero,MX,2021-03-14 21:27:27,31.7167,-116.5667,59.0,49,0,8.99
192,Gomel,BY,2021-03-14 21:27:27,52.4345,30.9754,37.99,93,90,15.66
193,Yumen,CN,2021-03-14 21:27:28,40.2833,97.2,40.3,41,19,24.11
194,Gambo,CF,2021-03-14 21:27:29,4.6482,22.2633,72.91,88,99,2.75
195,Tilichiki,RU,2021-03-14 21:27:29,60.4667,166.1,-6.99,90,51,3.2
196,Chegdomyn,RU,2021-03-14 21:27:30,51.1167,133.0167,25.77,78,17,4.56
197,Georgetown,MY,2021-03-14 21:27:15,5.4112,100.3354,81.0,78,20,2.3
198,Saint George,US,2021-03-14 21:22:31,37.1041,-113.5841,63.0,38,1,14.97
199,Prado,BR,2021-03-14 21:27:31,-17.3411,-39.2208,77.63,76,2,6.49
200,Esperance,AU,2021-03-14 21:27:31,-33.8667,121.9,51.8,82,27,4.61
201,Verkh-Suetka,RU,2021-03-14 21:27:32,53.3,80.05,-2.22,96,100,5.35
202,Evensk,RU,2021-03-14 21:27:32,61.95,159.2333,-6.56,87,100,3.65
