City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Launceston,AU,77.0,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
607,Harper,LR,78.17,light rain,4.375,-7.7169,Screensaver
608,Kismayo,SO,78.66,clear sky,-0.3582,42.5454,Agan-Hotel
609,Kununurra,AU,84.2,scattered clouds,-15.7667,128.7333,Hotel Kununurra
614,Pemangkat,ID,84.76,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
615,Sokoni,TZ,75.2,few clouds,-6.4333,39.55,Ujamaa Beach Resort
619,Bafilo,TG,78.8,overcast clouds,9.35,1.2667,Hôtel Assoli
621,Iralaya,HN,76.64,clear sky,15.0,-83.2333,Iglesia morava renovada
623,Burla,IN,82.4,clear sky,21.5,83.8667,Gents Hostel 2(ଭୃଗୁ)
632,Key West,US,75.2,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
641,Lima,PE,75.99,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
650,Sambava,MG,77.86,scattered clouds,-14.2667,50.1667,Melrose
652,Flinders,AU,75.99,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
655,Angoche,MZ,75.27,overcast clouds,-16.2325,39.9086,Guest House HESADA
660,Veraval,IN,83.48,clear sky,20.9,70.3667,Lords Inn Somnath
665,Ibra,OM,75.18,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
666,Bandarbeyla,SO,78.84,overcast clouds,9.4942,50.8122,JABIR HOTEL
668,Gushikawa,JP,82.4,broken clouds,26.3544,127.8686,Kirari Guest House
669,Ciudad Bolivar,VE,78.21,overcast clouds,8.1222,-63.5497,Hotel Edi
671,Araceli,PH,80.94,broken clouds,10.5529,119.9913,JBryan Traveler's Inn
679,Siocon,PH,85.48,scattered clouds,7.7061,122.1353,ABS Hotel
682,Itoman,JP,82.4,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
689,Bacolod,PH,85.01,few clouds,10.6667,122.95,Planta Hotel & Residences
